sku,brand,model,description,quantity,unit_cost,reorder_threshold,max_threshold,sell_price,supplier
,"2GIG","2GIG-DW10E-900","E+ Extended Range Indoor Door / Window Sensor","5","19.98","0","0","99.99","Wave Electronics"
,"2GIG","2GIG-DW20E-345","Encrypted Recessed Door / Window Sensor","4","17.45","0","0","99.99","Wave Electronics"
,"2GIG","2GIG-EDG-NA-VA","EDGE 7"" Touchscreen Security System (Verizon LTE)","2","322.61","1","2","799.99","Wave Electronics"
,"2GIG","2GIG-RPTR100-345","Wireless Repeater, 345MHz","2","61.22","0","2","129.99","Wave Electronics"
,"AC Infinity","AI-CPT1","Rack Mount Fan Panel 1U, Exhaust Airflow, for Cooling AV, Home Theater, Network 19” Racks","0","137","0",,"279","Amazon"
,"Accecraft","WAN","Starlink Gen 3 Wall & Roof Mounting Kit, Adjustable Gen 3 Mount for V3 Standard Dish, Includes Aluminum Pipe Adapter","2","23.99","0","0","109.99","Amazon"
,"Aeotec","ZW189","
Z-wave Range Extender 7 (Z-Wave Repeater)
","6","40.57","2","4","99.99","Wave Electronics"
,"Alarm.com","ADC-AC-FOB-60L8","Key fob credential/access control fob","18","6.4","0","0","15","Alarm.com"
,"Alarm.com","ADC-CC100-BX","Car and fleet connector for vehicle tracking and app integration","1","111.2","0","0","299.99","Alarm.com"
"ADC-CSVR2116P-1x12TB","Alarm.com","ADC-CSVR2116P-1x12TB","Pro Series 16-Channel Commercial Stream Video Recorder, 1x12TB","0","972.61","0","0","1799","Alarm.com"
,"Alarm.com","ADC-NK-200T-A-CC-VZ","Cell connector with LTE cellular backup and ethernet connectivity","1","203.35","0","0","599.99","Alarm.com"
,"Alarm.com","ADC-PSU-12V1A-OUTDOOR","12V 1A Waterproof Outdoor Power Supply","4","9.5","0","0","29.99","Alarm.com"
"LA-S40T","Alarm.com","ADC-S40-T","Z-Wave Plus temperature and humidity sensor for Alarm.com smart thermostats","2","30.13","1","3","99.99","Wave Electronics"
"LA-ADCSG130","Alarm.com","ADC-SG130","Smart Gateway Wi-Fi access point","4","33.11","2","4","99.99","ADI (USA)"
,"Alarm.com","ADC-SWM150","Alarm.com ADC-SWM150 Smart water valve and meter","0","500","0",,"700","Alarm.com"
,"Alarm.com","ADC-SWV100","Smart Water Valve","1","204.61","0",,"499.99","Wave Electronics"
,"Alarm.com","ADC-T25","Z-Wave Capacitive Touch Smart Thermostat","4","126.96","2","4","299.99","ADI (USA)"
,"Alarm.com","ADC-T3000","Second-Generation Smart Thermostat","1","239.99","0","0","299.99","Wave Electronics"
"LA-T40KHD","Alarm.com","ADC-T40K-HD","Smart thermostat HD with color touchscreen display, black","3","179.96","2","4","399.99","Wave Electronics"
"LA-T40KHDW","Alarm.com","ADC-T40K-HD-W","Smart thermostat HD with color touchscreen display, white","3","179.96","2","4","399.99","Wave Electronics"
,"Alarm.com","ADC-USD-1TB-WD","1 TB MicroSD Card","0","155","0",,"299","Alarm.com"
"ADC-V523X","Alarm.com","ADC-V523X","Indoor 1080P Wi-Fi Video Camera","2","99.37","1","3","299.99","Wave Electronics"
,"Alarm.com","ADC-V724","Outdoor 1080p Wi-Fi camera with two-way audio","1","105.99","0","0","399.99","Wave Electronics"
"ADC-V724X","Alarm.com","ADC-V724X","Outdoor 1080P Wi-Fi Camera with Two Way Audio","7","109.77","0","0","399.99","Wave Electronics"
,"Alarm.com","ADC-V730","4MP Outdoor Wi-Fi Spotlight Camera","0","109.77","4","8","399","Wave Electronics"
,"Alarm.com","ADC-V730P","4MP Outdoor PoE Camera with Integrated Spotlight","0","187.5","4","8","399","Wave Electronics"
"LA-VACCMNTVS","Alarm.com","ADC-VACC-MNTVS","Small mounting plate compatible with small conduit box and pendant cap","10","22.47","4","8","49.99","Wave Electronics"
"ADC-VC727P","Alarm.com","ADC-VC727P","Pro Series 1080P Mini-Bullet Camera, POE","10","172.7","0","0","399.99","Wave Electronics"
"LA-VC728PF","Alarm.com","ADC-VC728PF","Pro Series 4MP Bullet PoE Camera","4","185.99","2","4","399.99","Wave Electronics"
"187829","Alarm.com","ADC-VC729P","4MP Outdoor Floodlight Camera (POE++)","2","189.39","1","2","599.99","Wave Electronics"
"ADC-VC838PF","Alarm.com","ADC-VC838PF","Pro Series Turret PoE Camera with Varifocal Lens","5","213.82","0","0","399.99","Wave Electronics"
,"Alarm.com","ADC-VDB750","Full HD wired video doorbell camera, white finish","7","104.58","4","6","299.99","Wave Electronics"
,"Alarm.com","ADC-VDB750-BZ","Full HD wired video doorbell camera, bronze finish","1","104.58","1","3","299.99","Wave Electronics"
,"Alarm.com","ADC-VDB750-S","Full HD wired video doorbell camera, silver finish","4","104.59","1","18","299.99","Wave Electronics"
,"Alarm.com","ADC-VDB770-BZ","Video Doorbell - Bronze","1","156.22","0","0","299.99","Wave Electronics"
,"Alarm.com","ADC-VDB770-S","Video Doorbell - Silver","2","156.22","0","0","299.99","Wave Electronics"
